name,college,programmes,n_programmes,scopus_id,scopus_url,google_scholar_id
"Zafar Husain, Ph.D",Business,BBA in Management; BBA in Human Resource Management; BBA in Business Analytics; Master of Business Administration; Doctor of Business Administration (DBA),5,8304977600,https://www.scopus.com/authid/detail.uri?authorId=8304977600,wQj96lkAAAAJ
"Iffat Sabir, Ph.D",Business,BBA in Management; BBA in Human Resource Management; Master of Business Administration; Doctor of Business Administration (DBA),4,57195561731,https://www.scopus.com/authid/detail.uri?authorId=57195561731,2ohepA4AAAAJ
"Jamil Razmak, Ph.D",Business,BBA in Management; BBA in Business Analytics; Master of Business Administration; Master of Science in Business Data Analytics,4,55820308400,https://www.scopus.com/authid/detail.uri?authorId=55820308400,hznXeRUAAAAJ
"Riham Suleiman Muqattash, Ph.D",Business,BBA in Accounting; Master of Business Administration,2,57194492587,https://www.scopus.com/authid/detail.uri?authorId=57194492587,1-WnBnYAAAAJ
"Mohammad Ahmad Al Omari, Ph.D",Business,BBA in Management; BBA in Human Resource Management; Master of Business Administration,3,55331479200,https://www.scopus.com/authid/detail.uri?authorId=55331479200,byGK83cAAAAJ
"Abdelhafid Belarbi, Ph.D",Business,BBA in Finance and Banking; Master of Business Administration; Master of Science in Business Data Analytics,3,57193390999,https://www.scopus.com/authid/detail.uri?authorId=57193390999,6Pz9jXgAAAAJ
"Habib Chabchoub, Ph.D",Business,BBA in Management; Master of Business Administration; Doctor of Business Administration (DBA),3,56007650900,https://www.scopus.com/authid/detail.uri?authorId=56007650900,0TnenGsAAAAJ
"Mohammed Nuseir, Ph.D",Business,Master of Business Administration,1,,,CG0t050AAAAJ
"Amer Mohammad Jaser Qasem, Ph.D",Business,BBA in Accounting; BBA in Finance and Banking; Master of Business Administration,3,36155955800,https://www.scopus.com/authid/detail.uri?authorId=36155955800,Ubf4X1kAAAAJ
"Belkacem Athamena, Ph.D",Business,BBA in Management Information Systems; BBA in Business Analytics; Master of Business Administration; Master of Science in Business Data Analytics,4,6507855990,https://www.scopus.com/authid/detail.uri?authorId=6507855990,N0ePhIwAAAAJ
"Mohanad Ali Halaweh, Ph.D",Business,BBA in Management Information Systems; BBA in Business Analytics; Master of Science in Business Data Analytics,3,25960639300,https://www.scopus.com/authid/detail.uri?authorId=25960639300,94i_H0AAAAAJ
"Rania Badreldin Mostafa, Ph.D",Business,BBA in Marketing; Master of Business Administration,2,56829186600,https://www.scopus.com/authid/detail.uri?authorId=56829186600,w8Z_T0oAAAAJ
"Shorouq F. Eletter, Ph.D",Business,BBA in Management; BBA in Business Analytics; Master of Business Administration; Master of Science in Business Data Analytics; Doctor of Business Administration (DBA),5,55539589600,https://www.scopus.com/authid/detail.uri?authorId=55539589600,pkeDpYEAAAAJ
